Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2016-09-21,5,1,26,50,4,2,6,15,193
2016-09-22,0,1,17,42,8,1,7,14,152
2016-09-23,3,0,15,35,10,3,9,19,181
2016-09-25,1,3,14,30,7,0,7,29,101
2016-09-26,2,0,25,64,9,0,11,54,140
2016-09-27,6,1,12,45,8,2,10,20,176
2016-09-28,2,1,22,48,9,1,9,12,174
2016-09-29,3,0,20,36,8,2,8,16,201
2016-09-30,3,2,29,45,8,0,16,16,228
2016-10-01,6,2,24,39,8,0,11,30,120
2016-10-02,2,7,11,26,8,1,10,31,95
2016-10-03,2,1,26,51,15,0,19,23,358
2016-10-04,1,1,23,40,11,1,12,9,208
2016-10-05,0,1,25,41,9,0,10,17,216
2016-10-06,2,0,23,49,7,0,7,15,192
2016-10-07,1,1,15,39,3,3,2,8,167
2016-10-08,4,1,16,31,7,2,10,24,139
2016-10-09,1,4,15,19,3,1,5,14,87
2016-10-10,2,5,26,58,10,2,9,24,173
2016-10-11,5,0,25,34,13,1,17,15,158
2016-10-12,0,1,22,34,11,0,14,12,209
2016-10-13,2,1,12,58,4,0,6,8,182
2016-10-14,4,1,28,27,12,0,27,11,211
2016-10-15,3,2,14,31,3,0,3,22,136
2016-10-16,4,0,5,10,12,4,9,28,132
2016-10-17,1,2,27,39,7,0,10,18,168
2016-10-18,3,1,10,39,9,0,11,12,164
2016-10-19,3,0,19,41,9,1,9,18,186
2016-10-20,1,0,23,42,11,4,11,15,237
2016-10-21,1,1,17,32,11,0,16,18,279
2016-10-22,2,1,21,36,5,1,4,31,136
2016-10-23,7,2,23,19,8,1,10,28,108
2016-10-24,2,3,20,40,10,0,14,24,154
2016-10-25,1,1,31,61,8,1,8,14,190
2016-10-26,2,1,19,33,6,0,9,10,183
2016-10-27,1,1,17,44,8,0,13,10,181
2016-10-28,1,0,22,42,6,0,7,15,212
2016-10-29,3,0,23,29,4,0,5,27,171
2016-10-30,3,5,20,26,4,0,5,40,114
2016-10-31,2,2,27,48,8,0,16,20,192
2016-11-01,0,2,10,16,5,1,7,14,101
2016-11-02,2,0,21,27,10,0,14,12,225
2016-11-03,1,2,24,29,5,1,6,11,196
2016-11-04,2,0,20,38,6,0,7,16,164
2016-11-05,7,5,20,27,7,0,9,16,115
2016-11-06,1,6,20,22,5,0,6,21,101
2016-11-07,3,4,23,45,10,1,9,22,194
2016-11-08,2,0,10,35,8,1,7,14,169
2016-11-09,1,0,24,42,2,1,1,15,154
2016-11-10,2,1,25,45,6,1,5,24,213
2016-11-10,2,3,14,33,4,1,3,28,128
2016-11-11,2,0,14,15,2,0,2,22,72
2016-11-12,4,2,11,25,1,3,0,22,115
2016-11-13,1,3,14,18,1,0,1,18,90
2016-11-14,8,2,22,45,6,0,7,12,183
2016-11-15,3,1,20,39,6,1,10,8,159
2016-11-16,3,0,14,67,10,2,12,10,212
2016-11-17,2,1,20,46,4,1,5,10,182
2016-11-18,1,0,22,50,3,0,3,27,224
2016-11-19,3,3,14,29,8,0,8,22,188
2016-11-20,2,5,11,25,7,0,9,26,101
2016-11-21,4,1,28,38,9,0,9,15,175
2016-11-22,4,1,13,40,13,2,14,17,164
2016-11-23,8,1,17,35,7,0,7,9,162
2016-11-24,3,3,22,50,3,0,3,11,140
2016-11-25,0,1,17,40,4,0,4,21,216
2016-11-26,2,2,18,19,1,0,1,18,123
2016-11-27,5,6,17,15,4,0,4,21,111
2016-11-28,1,3,15,41,8,1,17,17,315
2016-11-29,2,0,13,38,6,0,7,12,185
2016-11-30,2,1,18,39,4,0,4,31,258
2016-12-01,4,2,26,36,8,0,8,22,236
2016-12-02,3,0,20,31,9,2,9,14,227
2016-12-03,0,3,17,30,10,1,9,23,107
2016-12-04,3,6,10,15,4,0,9,18,105
2016-12-05,2,0,22,33,8,0,8,17,197
2016-12-06,3,1,12,36,5,0,5,9,206
2016-12-07,2,0,20,31,8,1,7,11,170
2016-12-08,1,2,20,42,4,0,9,10,182
2016-12-09,3,0,16,42,14,3,11,9,225
