Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2008-11-14,5,2,32.0,100,18,1,17,37,177
2008-11-15,9,6,37.0,67,11,0,14,34,81
2008-11-16,8,9,30.0,43,18,3,24,40,108
2008-11-17,3,3,50.0,121,19,2,18,36,181
2008-11-18,13,1,60.0,84,12,1,13,23,166
2008-11-19,9,1,35.0,100,13,0,15,16,173
2008-11-20,5,1,40.0,83,31,3,35,18,228
2008-11-21,8,4,50.0,93,32,0,37,41,211
2008-11-22,2,7,56.0,46,26,2,32,38,232
2008-11-23,11,8,27.0,33,6,0,8,27,113
2008-11-24,4,12,37.0,104,5,0,5,18,156
2008-11-25,8,5,43.0,82,8,0,13,16,136
2008-11-26,6,5,50.0,112,19,1,17,21,159
2008-11-27,9,3,34.0,110,16,1,19,23,167
2008-11-28,3,5,42.0,99,15,1,18,44,235
2008-11-29,6,2,30.0,70,23,1,34,42,172
2008-11-30,13,8,32.0,58,16,6,14,65,85
2008-12-01,15,8,46.0,107,14,0,18,34,166
2008-12-02,9,1,53.0,98,21,1,25,24,158
2008-12-03,13,2,39.0,94,14,1,14,26,156
2008-12-04,9,3,44.0,105,21,1,27,37,196
2008-12-05,11,5,42.0,101,23,3,20,39,190
2008-12-06,13,4,40.0,67,9,1,10,57,143
2008-12-07,5,7,31.0,46,11,1,15,32,81
2008-12-08,6,4,50.0,98,18,0,19,22,154
2008-12-09,6,2,53.0,91,18,1,18,29,179
2008-12-10,7,4,56.0,101,16,1,16,38,159
2008-12-11,12,3,37.0,89,7,1,6,36,157
2008-12-12,8,1,48.0,113,12,1,13,38,131
2008-12-13,4,6,39.0,78,10,2,9,50,113
2008-12-14,10,6,26.0,52,10,1,12,48,93
2008-12-15,8,3,65.0,80,19,3,18,20,205
2008-12-16,8,3,37.0,93,12,0,12,24,165
2008-12-17,4,4,48.0,85,10,0,11,26,231
2008-12-18,10,5,65.0,113,24,1,25,34,199
2008-12-19,6,2,44.0,90,24,0,31,29,230
2008-12-20,6,3,38.0,83,23,0,26,29,126
2008-12-21,8,7,39.0,44,7,0,9,29,92
2008-12-22,7,12,47.0,99,20,1,22,32,227
2008-12-23,2,2,56.0,69,21,2,22,32,184
2008-12-24,4,2,34.0,29,8,0,16,24,88
2008-12-25,2,4,20.0,15,4,0,6,13,65
2008-12-26,3,2,27.0,27,8,0,14,18,58
2008-12-27,2,9,59.0,64,3,0,3,15,84
2008-12-28,12,5,35.0,34,3,2,5,19,48
2008-12-29,6,4,69.0,90,8,0,9,11,160
2008-12-30,6,1,52.0,78,7,0,9,18,143
2008-12-31,7,4,45.0,56,8,1,9,16,103
2009-01-01,10,11,19.0,22,10,2,19,34,32
2009-01-02,5,9,38.0,61,16,3,22,26,148
2009-01-03,3,5,39.0,46,6,0,14,14,89
2009-01-04,0,4,37.0,37,3,2,3,13,82
2009-01-05,6,3,52.0,101,5,1,4,12,148
2009-01-06,11,1,57.0,72,8,1,12,17,126
2009-01-07,7,2,43.0,76,15,2,24,17,137
2009-01-08,4,2,33.0,67,1,0,1,9,166
2009-01-09,4,4,48.0,124,15,0,17,41,150
2009-01-10,8,4,44.0,58,6,0,11,35,124
2009-01-11,8,6,39.0,54,2,0,3,36,92
2009-01-12,7,1,57.0,99,9,0,11,28,168
2009-01-13,10,2,41.0,91,11,1,14,24,89
2009-01-14,12,2,44.0,91,10,0,11,29,237
2009-01-15,6,3,46.0,81,15,3,22,31,149
2009-01-16,4,4,54.0,90,6,0,8,26,208
2009-01-17,9,0,40.0,61,11,2,12,28,132
2009-01-18,7,6,33.0,28,7,2,16,26,0
2009-01-19,9,1,58.0,99,10,0,10,25,171
2009-01-20,6,5,57.0,77,12,1,13,27,122
2009-01-21,3,1,46.0,72,10,0,24,19,169
2009-01-22,8,4,70.0,78,6,0,10,23,152
2009-01-23,10,3,57.0,98,6,3,3,25,198
2009-01-24,6,5,49.0,68,15,2,24,36,93
2009-01-25,9,7,50.0,41,6,1,13,33,74
2009-01-26,10,1,73.0,91,21,1,35,23,193
2009-01-27,14,2,53.0,88,14,1,15,16,133
2009-01-28,13,1,81.0,72,8,0,8,22,119
2009-01-29,11,2,52.0,77,5,0,5,17,149
2009-01-30,11,1,75.0,63,12,0,17,32,175
2009-01-31,9,3,57.0,61,7,0,13,32,177
2009-02-01,7,5,35.0,35,10,0,21,29,80
2009-02-02,3,5,61.0,65,9,5,9,29,120
2009-02-03,11,6,53.0,86,6,0,6,19,171
2009-02-04,6,1,72.0,91,9,1,13,18,139
2009-02-05,7,1,74.0,113,12,0,7,26,131
2009-02-06,5,2,58.0,84,17,1,23,33,183
2009-02-07,4,5,51.0,64,10,2,10,32,109
2009-02-08,4,7,48.0,45,6,0,7,39,107
